Site Name,Report Date,Time Period Ending,Time Interval,0 - 520 cm,521  - 660 cm,661 - 1160 cm,1160+ cm,0 - 10 mph,11 - 15 mph,16 - 20 mph,21 - 25 mph,26 - 30 mph,31 - 35 mph,36 - 40 mph,41 - 45 mph,46 - 50 mph,51 - 55 mph,56 - 60 mph,61 - 70 mph,71 - 80 mph,80+ mph,Avg mph,Total Volume
M4/2156B,02/04/2025 00:00:00,00:14:00,0,83,6,2,7,,,,,,,,,,,,,,,37,98
M4/2156B,02/04/2025 00:00:00,00:29:00,1,80,7,3,0,,,,,,,,,,,,,,,37,90
M4/2156B,02/04/2025 00:00:00,00:44:00,2,83,5,3,4,,,,,,,,,,,,,,,36,95
M4/2156B,02/04/2025 00:00:00,00:59:00,3,55,5,4,3,,,,,,,,,,,,,,,36,67
M4/2156B,02/04/2025 00:00:00,01:14:00,4,53,5,8,4,,,,,,,,,,,,,,,36,70
M4/2156B,02/04/2025 00:00:00,01:29:00,5,38,5,1,5,,,,,,,,,,,,,,,35,49
M4/2156B,02/04/2025 00:00:00,01:44:00,6,37,7,3,4,,,,,,,,,,,,,,,36,51
M4/2156B,02/04/2025 00:00:00,01:59:00,7,31,8,3,7,,,,,,,,,,,,,,,36,49
M4/2156B,02/04/2025 00:00:00,02:14:00,8,33,12,2,3,,,,,,,,,,,,,,,36,50
M4/2156B,02/04/2025 00:00:00,02:29:00,9,32,6,2,4,,,,,,,,,,,,,,,35,44
M4/2156B,02/04/2025 00:00:00,02:44:00,10,45,2,3,3,,,,,,,,,,,,,,,36,53
M4/2156B,02/04/2025 00:00:00,02:59:00,11,36,4,7,4,,,,,,,,,,,,,,,35,51
M4/2156B,02/04/2025 00:00:00,03:14:00,12,31,9,2,2,,,,,,,,,,,,,,,38,44
M4/2156B,02/04/2025 00:00:00,03:29:00,13,38,7,9,6,,,,,,,,,,,,,,,37,60
M4/2156B,02/04/2025 00:00:00,03:44:00,14,41,7,7,2,,,,,,,,,,,,,,,37,57
M4/2156B,02/04/2025 00:00:00,03:59:00,15,53,7,6,4,,,,,,,,,,,,,,,36,70
M4/2156B,02/04/2025 00:00:00,04:14:00,16,76,5,12,6,,,,,,,,,,,,,,,36,99
M4/2156B,02/04/2025 00:00:00,04:29:00,17,75,17,18,4,,,,,,,,,,,,,,,37,114
M4/2156B,02/04/2025 00:00:00,04:44:00,18,124,16,19,4,,,,,,,,,,,,,,,35,163
M4/2156B,02/04/2025 00:00:00,04:59:00,19,140,9,25,7,,,,,,,,,,,,,,,35,181
M4/2156B,02/04/2025 00:00:00,05:14:00,20,163,12,25,6,,,,,,,,,,,,,,,35,206
M4/2156B,02/04/2025 00:00:00,05:29:00,21,225,27,28,11,,,,,,,,,,,,,,,34,291
M4/2156B,02/04/2025 00:00:00,05:44:00,22,290,18,29,9,,,,,,,,,,,,,,,34,346
M4/2156B,02/04/2025 00:00:00,05:59:00,23,410,30,33,12,,,,,,,,,,,,,,,33,485
M4/2156B,02/04/2025 00:00:00,06:14:00,24,592,41,43,14,,,,,,,,,,,,,,,31,690
M4/2156B,02/04/2025 00:00:00,06:29:00,25,700,38,52,16,,,,,,,,,,,,,,,25,806
M4/2156B,02/04/2025 00:00:00,06:44:00,26,597,60,43,14,,,,,,,,,,,,,,,21,714
M4/2156B,02/04/2025 00:00:00,06:59:00,27,644,47,43,13,,,,,,,,,,,,,,,21,747
M4/2156B,02/04/2025 00:00:00,07:14:00,28,501,47,41,18,,,,,,,,,,,,,,,15,607
M4/2156B,02/04/2025 00:00:00,07:29:00,29,543,40,44,15,,,,,,,,,,,,,,,16,642
M4/2156B,02/04/2025 00:00:00,07:44:00,30,593,38,49,17,,,,,,,,,,,,,,,19,697
M4/2156B,02/04/2025 00:00:00,07:59:00,31,572,47,42,17,,,,,,,,,,,,,,,18,678
M4/2156B,02/04/2025 00:00:00,08:14:00,32,612,39,32,18,,,,,,,,,,,,,,,20,701
M4/2156B,02/04/2025 00:00:00,08:29:00,33,654,39,36,8,,,,,,,,,,,,,,,21,737
M4/2156B,02/04/2025 00:00:00,08:44:00,34,636,33,35,19,,,,,,,,,,,,,,,20,723
M4/2156B,02/04/2025 00:00:00,08:59:00,35,671,41,32,7,,,,,,,,,,,,,,,22,751
M4/2156B,02/04/2025 00:00:00,09:14:00,36,635,50,35,12,,,,,,,,,,,,,,,19,732
M4/2156B,02/04/2025 00:00:00,09:29:00,37,627,36,46,10,,,,,,,,,,,,,,,20,719
M4/2156B,02/04/2025 00:00:00,09:44:00,38,650,48,30,12,,,,,,,,,,,,,,,25,740
M4/2156B,02/04/2025 00:00:00,09:59:00,39,619,32,30,18,,,,,,,,,,,,,,,24,699
M4/2156B,02/04/2025 00:00:00,10:14:00,40,611,32,34,18,,,,,,,,,,,,,,,22,695
M4/2156B,02/04/2025 00:00:00,10:29:00,41,576,36,47,8,,,,,,,,,,,,,,,24,667
M4/2156B,02/04/2025 00:00:00,10:44:00,42,597,29,31,20,,,,,,,,,,,,,,,23,677
M4/2156B,02/04/2025 00:00:00,10:59:00,43,536,38,26,14,,,,,,,,,,,,,,,29,614
M4/2156B,02/04/2025 00:00:00,11:14:00,44,561,37,27,6,,,,,,,,,,,,,,,32,631
M4/2156B,02/04/2025 00:00:00,11:29:00,45,553,22,27,14,,,,,,,,,,,,,,,31,616
