Site Name,Report Date,Time Period Ending,Time Interval,0 - 520 cm,521  - 660 cm,661 - 1160 cm,1160+ cm,0 - 10 mph,11 - 15 mph,16 - 20 mph,21 - 25 mph,26 - 30 mph,31 - 35 mph,36 - 40 mph,41 - 45 mph,46 - 50 mph,51 - 55 mph,56 - 60 mph,61 - 70 mph,71 - 80 mph,80+ mph,Avg mph,Total Volume
M1/2114A,02/04/2025 00:00:00,00:14:00,0,21,1,0,2,,,,,,,,,,,,,,,53,24
M1/2114A,02/04/2025 00:00:00,00:29:00,1,11,2,0,3,,,,,,,,,,,,,,,53,16
M1/2114A,02/04/2025 00:00:00,00:44:00,2,22,1,1,6,,,,,,,,,,,,,,,51,30
M1/2114A,02/04/2025 00:00:00,00:59:00,3,20,5,0,3,,,,,,,,,,,,,,,50,28
M1/2114A,02/04/2025 00:00:00,01:14:00,4,24,2,0,1,,,,,,,,,,,,,,,49,27
M1/2114A,02/04/2025 00:00:00,01:29:00,5,20,3,1,1,,,,,,,,,,,,,,,53,25
M1/2114A,02/04/2025 00:00:00,01:44:00,6,17,0,1,1,,,,,,,,,,,,,,,47,19
M1/2114A,02/04/2025 00:00:00,01:59:00,7,11,4,0,1,,,,,,,,,,,,,,,53,16
M1/2114A,02/04/2025 00:00:00,02:14:00,8,8,5,4,2,,,,,,,,,,,,,,,47,19
M1/2114A,02/04/2025 00:00:00,02:29:00,9,13,2,0,3,,,,,,,,,,,,,,,51,18
M1/2114A,02/04/2025 00:00:00,02:44:00,10,7,1,2,1,,,,,,,,,,,,,,,54,11
M1/2114A,02/04/2025 00:00:00,02:59:00,11,6,2,3,1,,,,,,,,,,,,,,,49,12
M1/2114A,02/04/2025 00:00:00,03:14:00,12,18,2,1,1,,,,,,,,,,,,,,,50,22
M1/2114A,02/04/2025 00:00:00,03:29:00,13,12,3,3,2,,,,,,,,,,,,,,,52,20
M1/2114A,02/04/2025 00:00:00,03:44:00,14,16,5,0,1,,,,,,,,,,,,,,,52,22
M1/2114A,02/04/2025 00:00:00,03:59:00,15,16,2,0,6,,,,,,,,,,,,,,,50,24
