Site Name,Report Date,Time Period Ending,Time Interval,0 - 520 cm,521  - 660 cm,661 - 1160 cm,1160+ cm,0 - 10 mph,11 - 15 mph,16 - 20 mph,21 - 25 mph,26 - 30 mph,31 - 35 mph,36 - 40 mph,41 - 45 mph,46 - 50 mph,51 - 55 mph,56 - 60 mph,61 - 70 mph,71 - 80 mph,80+ mph,Avg mph,Total Volume
M4/2162B,02/04/2025 00:00:00,00:14:00,0,78,9,7,6,,,,,,,,,,,,,,,42,100
M4/2162B,02/04/2025 00:00:00,00:29:00,1,76,13,4,0,,,,,,,,,,,,,,,41,93
M4/2162B,02/04/2025 00:00:00,00:44:00,2,68,14,7,4,,,,,,,,,,,,,,,40,93
M4/2162B,02/04/2025 00:00:00,00:59:00,3,41,13,8,3,,,,,,,,,,,,,,,40,65
M4/2162B,02/04/2025 00:00:00,01:14:00,4,52,8,7,4,,,,,,,,,,,,,,,40,71
M4/2162B,02/04/2025 00:00:00,01:29:00,5,34,8,2,5,,,,,,,,,,,,,,,40,49
M4/2162B,02/04/2025 00:00:00,01:44:00,6,34,6,7,5,,,,,,,,,,,,,,,40,52
M4/2162B,02/04/2025 00:00:00,01:59:00,7,28,5,8,7,,,,,,,,,,,,,,,40,48
M4/2162B,02/04/2025 00:00:00,02:14:00,8,30,7,10,3,,,,,,,,,,,,,,,40,50
M4/2162B,02/04/2025 00:00:00,02:29:00,9,32,4,5,4,,,,,,,,,,,,,,,40,45
M4/2162B,02/04/2025 00:00:00,02:44:00,10,34,9,5,3,,,,,,,,,,,,,,,40,51
M4/2162B,02/04/2025 00:00:00,02:59:00,11,30,5,9,7,,,,,,,,,,,,,,,40,51
M4/2162B,02/04/2025 00:00:00,03:14:00,12,28,10,8,3,,,,,,,,,,,,,,,40,49
M4/2162B,02/04/2025 00:00:00,03:29:00,13,31,9,12,4,,,,,,,,,,,,,,,39,56
M4/2162B,02/04/2025 00:00:00,03:44:00,14,40,11,11,3,,,,,,,,,,,,,,,40,65
M4/2162B,02/04/2025 00:00:00,03:59:00,15,44,10,10,5,,,,,,,,,,,,,,,40,69
M4/2162B,02/04/2025 00:00:00,04:14:00,16,55,20,16,6,,,,,,,,,,,,,,,41,97
M4/2162B,02/04/2025 00:00:00,04:29:00,17,65,25,27,5,,,,,,,,,,,,,,,40,122
M4/2162B,02/04/2025 00:00:00,04:44:00,18,110,25,25,2,,,,,,,,,,,,,,,39,162
M4/2162B,02/04/2025 00:00:00,04:59:00,19,111,34,30,10,,,,,,,,,,,,,,,40,185
M4/2162B,02/04/2025 00:00:00,05:14:00,20,140,33,29,8,,,,,,,,,,,,,,,40,210
M4/2162B,02/04/2025 00:00:00,05:29:00,21,165,69,44,15,,,,,,,,,,,,,,,39,293
M4/2162B,02/04/2025 00:00:00,05:44:00,22,246,68,38,14,,,,,,,,,,,,,,,40,366
M4/2162B,02/04/2025 00:00:00,05:59:00,23,343,105,50,16,,,,,,,,,,,,,,,39,514
M4/2162B,02/04/2025 00:00:00,06:14:00,24,476,156,77,18,,,,,,,,,,,,,,,39,727
M4/2162B,02/04/2025 00:00:00,06:29:00,25,523,245,89,25,,,,,,,,,,,,,,,23,882
M4/2162B,02/04/2025 00:00:00,06:44:00,26,442,209,83,20,,,,,,,,,,,,,,,11,754
M4/2162B,02/04/2025 00:00:00,06:59:00,27,451,192,89,25,,,,,,,,,,,,,,,10,757
M4/2162B,02/04/2025 00:00:00,07:14:00,28,397,171,65,32,,,,,,,,,,,,,,,10,665
M4/2162B,02/04/2025 00:00:00,07:29:00,29,365,161,94,37,,,,,,,,,,,,,,,9,657
M4/2162B,02/04/2025 00:00:00,07:44:00,30,426,190,68,28,,,,,,,,,,,,,,,10,712
M4/2162B,02/04/2025 00:00:00,07:59:00,31,453,167,81,20,,,,,,,,,,,,,,,9,721
M4/2162B,02/04/2025 00:00:00,08:14:00,32,457,181,72,20,,,,,,,,,,,,,,,10,730
M4/2162B,02/04/2025 00:00:00,08:29:00,33,492,167,55,18,,,,,,,,,,,,,,,10,732
M4/2162B,02/04/2025 00:00:00,08:44:00,34,457,204,59,29,,,,,,,,,,,,,,,11,749
