Site Name,Report Date,Time Period Ending,Time Interval,0 - 520 cm,521  - 660 cm,661 - 1160 cm,1160+ cm,0 - 10 mph,11 - 15 mph,16 - 20 mph,21 - 25 mph,26 - 30 mph,31 - 35 mph,36 - 40 mph,41 - 45 mph,46 - 50 mph,51 - 55 mph,56 - 60 mph,61 - 70 mph,71 - 80 mph,80+ mph,Avg mph,Total Volume
M1/2116B,02/04/2025 00:00:00,00:14:00,0,68,31,7,8,,,,,,,,,,,,,,,49,114
M1/2116B,02/04/2025 00:00:00,00:29:00,1,46,25,5,3,,,,,,,,,,,,,,,50,79
M1/2116B,02/04/2025 00:00:00,00:44:00,2,34,22,7,10,,,,,,,,,,,,,,,49,73
M1/2116B,02/04/2025 00:00:00,00:59:00,3,26,15,7,6,,,,,,,,,,,,,,,50,54
M1/2116B,02/04/2025 00:00:00,01:14:00,4,23,26,3,4,,,,,,,,,,,,,,,49,56
M1/2116B,02/04/2025 00:00:00,01:29:00,5,29,16,6,7,,,,,,,,,,,,,,,48,58
M1/2116B,02/04/2025 00:00:00,01:44:00,6,18,13,4,10,,,,,,,,,,,,,,,48,45
M1/2116B,02/04/2025 00:00:00,01:59:00,7,17,17,4,5,,,,,,,,,,,,,,,48,43
M1/2116B,02/04/2025 00:00:00,02:14:00,8,16,12,4,7,,,,,,,,,,,,,,,48,39
M1/2116B,02/04/2025 00:00:00,02:29:00,9,11,6,7,5,,,,,,,,,,,,,,,47,29
M1/2116B,02/04/2025 00:00:00,02:44:00,10,16,11,6,9,,,,,,,,,,,,,,,53,42
M1/2116B,02/04/2025 00:00:00,02:59:00,11,16,12,2,6,,,,,,,,,,,,,,,49,36
M1/2116B,02/04/2025 00:00:00,03:14:00,12,7,3,9,9,,,,,,,,,,,,,,,49,28
M1/2116B,02/04/2025 00:00:00,03:29:00,13,16,6,6,8,,,,,,,,,,,,,,,51,36
M1/2116B,02/04/2025 00:00:00,03:44:00,14,21,10,7,13,,,,,,,,,,,,,,,51,51
M1/2116B,02/04/2025 00:00:00,03:59:00,15,24,9,7,11,,,,,,,,,,,,,,,52,51
M1/2116B,02/04/2025 00:00:00,04:14:00,16,21,4,9,11,,,,,,,,,,,,,,,51,45
M1/2116B,02/04/2025 00:00:00,04:29:00,17,22,22,6,9,,,,,,,,,,,,,,,52,59
M1/2116B,02/04/2025 00:00:00,04:44:00,18,45,28,10,8,,,,,,,,,,,,,,,53,91
M1/2116B,02/04/2025 00:00:00,04:59:00,19,50,37,11,10,,,,,,,,,,,,,,,54,108
M1/2116B,02/04/2025 00:00:00,05:14:00,20,60,35,10,14,,,,,,,,,,,,,,,54,119
M1/2116B,02/04/2025 00:00:00,05:29:00,21,106,60,13,8,,,,,,,,,,,,,,,55,187
M1/2116B,02/04/2025 00:00:00,05:44:00,22,104,78,21,17,,,,,,,,,,,,,,,54,220
M1/2116B,02/04/2025 00:00:00,05:59:00,23,196,134,41,26,,,,,,,,,,,,,,,53,397
M1/2116B,02/04/2025 00:00:00,06:14:00,24,214,190,51,24,,,,,,,,,,,,,,,53,479
M1/2116B,02/04/2025 00:00:00,06:29:00,25,321,262,82,31,,,,,,,,,,,,,,,46,696
M1/2116B,02/04/2025 00:00:00,06:44:00,26,285,296,98,31,,,,,,,,,,,,,,,27,710
M1/2116B,02/04/2025 00:00:00,06:59:00,27,280,210,73,41,,,,,,,,,,,,,,,9,604
M1/2116B,02/04/2025 00:00:00,07:14:00,28,258,217,66,39,,,,,,,,,,,,,,,10,580
M1/2116B,02/04/2025 00:00:00,07:29:00,29,256,175,82,53,,,,,,,,,,,,,,,8,566
M1/2116B,02/04/2025 00:00:00,07:44:00,30,283,186,84,36,,,,,,,,,,,,,,,9,589
M1/2116B,02/04/2025 00:00:00,07:59:00,31,228,170,72,54,,,,,,,,,,,,,,,8,524
M1/2116B,02/04/2025 00:00:00,08:14:00,32,272,166,67,50,,,,,,,,,,,,,,,9,555
M1/2116B,02/04/2025 00:00:00,08:29:00,33,280,143,84,42,,,,,,,,,,,,,,,8,548
M1/2116B,02/04/2025 00:00:00,08:44:00,34,225,168,68,46,,,,,,,,,,,,,,,9,507
M1/2116B,02/04/2025 00:00:00,08:59:00,35,261,173,71,50,,,,,,,,,,,,,,,9,555
M1/2116B,02/04/2025 00:00:00,09:14:00,36,271,177,70,47,,,,,,,,,,,,,,,9,565
M1/2116B,02/04/2025 00:00:00,09:29:00,37,238,143,63,44,,,,,,,,,,,,,,,8,488
M1/2116B,02/04/2025 00:00:00,09:44:00,38,265,131,62,47,,,,,,,,,,,,,,,9,505
M1/2116B,02/04/2025 00:00:00,09:59:00,39,199,105,45,54,,,,,,,,,,,,,,,8,403
M1/2116B,02/04/2025 00:00:00,10:14:00,40,209,120,44,46,,,,,,,,,,,,,,,10,419
M1/2116B,02/04/2025 00:00:00,10:29:00,41,117,105,35,33,,,,,,,,,,,,,,,32,290
M1/2116B,02/04/2025 00:00:00,10:44:00,42,168,101,28,15,,,,,,,,,,,,,,,46,312
M1/2116B,02/04/2025 00:00:00,10:59:00,43,159,99,36,13,,,,,,,,,,,,,,,49,306
M1/2116B,02/04/2025 00:00:00,11:14:00,44,160,111,34,19,,,,,,,,,,,,,,,51,324
M1/2116B,02/04/2025 00:00:00,11:29:00,45,152,108,23,19,,,,,,,,,,,,,,,52,302
M1/2116B,02/04/2025 00:00:00,11:44:00,46,141,89,30,13,,,,,,,,,,,,,,,51,273
M1/2116B,02/04/2025 00:00:00,11:59:00,47,144,73,33,16,,,,,,,,,,,,,,,51,266
M1/2116B,02/04/2025 00:00:00,12:14:00,48,162,79,32,14,,,,,,,,,,,,,,,52,287
M1/2116B,02/04/2025 00:00:00,12:29:00,49,164,80,32,17,,,,,,,,,,,,,,,51,294
M1/2116B,02/04/2025 00:00:00,12:44:00,50,139,74,29,17,,,,,,,,,,,,,,,52,259
